Unnamed: 0,video_id,annotation_id,participant_num,start,end,labels,error
2,1,1,2,12.98124231329827,14.211969575507135,more specific/longer prompt,1
4,1,1,2,20.482818006761832,22.47542405033809,repeated prompt,2
12,3,3,4,13.222351247933885,14.189840363636364,repeated prompt,1
13,3,3,4,17.290767016528925,18.1342190661157,simpler prompt,2
16,3,3,4,22.45070896694215,23.64146480165289,more specific/longer prompt,3
24,4,4,5,15.18544320510894,16.563272993989482,more specific/longer prompt,1
25,4,4,5,19.93455864763336,20.98991763486101,simpler prompt,2
26,4,4,5,26.53055231780616,28.87579451164538,more specific/longer prompt,3
31,5,5,6,13.586171513148008,15.32952980465815,more specific/longer prompt,1
32,5,5,6,19.44746232081141,20.16885195867768,simpler prompt,2
33,5,5,6,27.322632534184827,28.61512230202855,more specific/longer prompt,3
43,6,6,7,14.230016253944402,15.773030064613073,repeated prompt,1
44,6,6,7,19.51626727197596,21.63076767918858,more specific/longer prompt,2
45,6,6,7,26.28838344102179,27.51707962359128,simpler prompt,3
52,7,7,8,13.3606656649136,15.072261457550717,repeated prompt,1
53,7,7,8,18.367722013523665,20.05377160030053,more specific/longer prompt,2
54,7,7,8,22.659484598046586,24.013433508640123,simpler prompt,3
60,8,8,9,13.39631134259955,15.159676489857253,more specific/longer prompt,1
61,8,8,9,18.160029128474832,19.31805997145004,simpler prompt,2
62,8,8,9,23.92386446055597,25.3187652486852,swapping terms in prompt,3
69,9,9,10,13.31117185875282,15.468074706235912,swapping terms in prompt,1
70,9,9,10,22.70910569421488,24.46544087002254,more specific/longer prompt,2
71,9,9,10,28.65599497370398,30.628020434259955,swapping terms in prompt,3
79,10,10,11,13.17778349286251,14.774270610067616,simpler prompt,1
82,10,10,11,18.94137257700977,21.26845549361382,more specific/longer prompt,2
83,10,10,11,24.569666142749814,26.0849759489106,simpler prompt,3
88,11,11,12,13.630069495867769,15.152037553719008,more specific/longer prompt,1
94,12,12,14,12.634109571750562,13.923841590533431,repeated prompt,1
95,12,12,14,17.898321893313298,19.34598028174305,swapping terms in prompt,2
103,13,13,16,13.328715101427498,14.715713373403457,simpler prompt,1
107,13,13,16,20.432852592036063,23.68045830202855,more specific/longer prompt,2
110,13,13,16,30.75076656649136,34.404322990232906,simpler prompt,3
117,14,14,17,13.25345755071375,14.338870022539444,more specific/longer prompt,1
118,14,14,17,19.023281743050337,20.96559879789632,more specific/longer prompt,2
122,15,15,18,13.027810066867016,14.51108271396552,simpler prompt,1
124,15,15,18,19.428570347858752,20.656999088655144,simpler prompt,2
132,16,16,19,12.901509752066117,14.103695888054094,more specific/longer prompt,1
133,16,16,19,18.97108365815177,21.610028834710747,more specific/longer prompt,2
141,17,17,20,13.223300678437267,14.711344744552967,more specific/longer prompt,1
144,17,17,20,22.32066099173554,23.53815159128475,simpler prompt,2
151,18,18,21,12.89771900826446,14.701595792637113,more specific/longer prompt,1
153,18,18,21,19.57206311044328,21.04522915101428,swapping terms in prompt,2
164,19,19,22,12.375524556724269,14.878439635612322,swapping terms in prompt,1
163,19,19,22,18.5493817513148,19.800839290758827,simpler prompt,2
167,19,19,22,24.91791011870773,26.725571009015777,more specific/longer prompt,3
171,20,20,23,12.9908232486852,14.133534552967692,swapping terms in prompt,1
172,20,20,23,22.854226085649888,24.989291943651388,more specific/longer prompt,2
173,20,20,23,28.32721180616078,29.770636611570243,simpler prompt,3
180,21,21,24,12.442924338842976,13.891634475994918,repeated prompt,1
183,22,22,25,12.649774469571751,13.477863543200602,swapping terms in prompt,1
184,22,22,25,17.818192480841475,22.158521418482344,more specific/longer prompt,2
185,22,22,25,26.413185969196093,27.812370955672428,simpler prompt,3
191,23,23,26,12.86120096243426,14.951509019534184,more specific/longer prompt,1
192,23,23,26,19.103093077385424,21.425657585274227,swapping terms in prompt,2
193,23,23,26,28.335286996243426,30.68688356048084,more specific/longer prompt,3
200,24,24,27,13.052432172802405,14.771914255447031,swapping terms in prompt,1
202,24,24,27,23.134849839218635,24.932490198347107,repeated prompt,2
208,25,25,28,13.141519158527425,15.36486265768158,more specific/longer prompt,1
210,25,25,28,21.312115852742306,22.74054184823441,simpler prompt,2
211,25,25,28,26.42588091660405,27.740032832456805,swapping terms in prompt,3
216,26,26,29,12.981269571750564,15.87518317054846,more specific/longer prompt,1
217,26,26,29,19.51324598046581,21.745693613824194,more specific/longer prompt,2
220,26,26,29,25.46643966942149,29.80731006761833,more specific/longer prompt,3
